Predictor	Odds ratio	95% CI	P
CP+	2.08	1.18 - 3.68	0.01353
ESBL+	2.16	1.06 - 4.38	0.02934
ST101	2.42	0.78 - 7.49	0.141
ST11	1.39	0.18 - 10.51	0.755
ST13	1.05	0.17 - 6.66	0.957
ST14	2.68	1.17 - 6.09	0.02158
ST1414	5.53	0.99 - 30.74	0.071
ST1427	0.64	0.03 - 12.48	0.757
ST147	0.28	0.02 - 5.13	0.314
ST15	0.81	0.23 - 2.93	0.751
ST152	3.23	0.74 - 14.11	0.138
ST1552	1.92	0.28 - 13.13	0.525
ST17	3.06	1.42 - 6.58	0.00474
ST1741	9.33	1.81 - 47.92	0.00677
ST1799	4.37	0.53 - 35.81	0.207
ST20	1.46	0.31 - 6.79	0.639
ST2004	3.21	0.63 - 16.39	0.188
ST218	40.41	1.99 - 818.82	0.00159
ST22	0.74	0.04 - 14.37	0.838
ST231	2.08	0.25 - 17.47	0.518
ST25	1.32	0.36 - 4.78	0.68
ST280	3.46	0.43 - 28.01	0.276
ST29	2.73	0.79 - 9.42	0.129
ST292	1.78	0.08 - 37.48	0.729
ST307	1.84	0.85 - 3.98	0.125
ST3132	0.82	0.04 - 16.71	0.898
ST336	0.82	0.04 - 16.71	0.898
ST340	3.06	0.75 - 12.47	0.14
ST348	2.62	0.54 - 12.78	0.26
ST35	6.22	1.71 - 22.60	0.00748
ST36	1.00	0.05 - 20.34	0.998
ST37	2.41	0.53 - 11.02	0.29
ST372	4.37	0.53 - 35.81	0.207
ST377	2.66	0.32 - 22.08	0.39
ST39	1.67	0.70 - 3.98	0.255
ST391	3.67	0.87 - 15.47	0.093
ST394	3.46	0.43 - 28.01	0.276
ST405	2.47	0.34 - 17.96	0.4
ST4083	1.00	0.05 - 20.34	0.998
ST442	4.62	0.55 - 39.13	0.153
ST45	4.24	1.52 - 11.81	0.00772
ST464	2.27	0.39 - 13.06	0.374
ST48	2.57	0.75 - 8.86	0.153
ST54	0.82	0.04 - 16.71	0.898
ST584	2.47	0.34 - 17.96	0.4
ST585	2.47	0.34 - 17.96	0.4
ST607	2.26	0.68 - 7.56	0.206
ST711	0.82	0.04 - 16.71	0.898
ST73	0.82	0.04 - 16.71	0.898
ST76	8.48	1.33 - 54.06	0.03379
ST985	1.70	0.38 - 7.64	0.507
